    35.00000  9.13657E+00  0.00000E+00  0.00000E+00  9.13657E+00
#
#                       P.E. =    36.00     n,l -        E,l             R_int
#                                           2 1 -    15.99 0      -2.93948E-01
#                                           2 1 -    15.99 2      -7.73173E-01
#
    36.00000  9.12169E+00  0.00000E+00  0.00000E+00  9.12169E+00
#
#                       P.E. =    37.00     n,l -        E,l             R_int
#                                           2 1 -    16.99 0      -2.83690E-01
#                                           2 1 -    16.99 2      -7.62642E-01
#
    37.00000  9.09520E+00  0.00000E+00  0.00000E+00  9.09520E+00
#
#                       P.E. =    38.00     n,l -        E,l             R_int
#                                           2 1 -    17.99 0      -2.74052E-01
#                                           2 1 -    17.99 2      -7.52000E-01
#
    38.00000  9.05851E+00  0.00000E+00  0.00000E+00  9.05851E+00
#
#                       P.E. =    39.00     n,l -        E,l             R_int
#                                           2 1 -    18.99 0      -2.64978E-01
#                                           2 1 -    18.99 2      -7.41298E-01
#
    39.00000  9.01283E+00  0.00000E+00  0.00000E+00  9.01283E+00
#
#                       P.E. =    40.00     n,l -        E,l             R_int
#                                           2 1 -    19.99 0      -2.56423E-01
#                                           2 1 -    19.99 2      -7.30579E-01
#
    40.00000  8.95919E+00  0.00000E+00  0.00000E+00  8.95919E+00
#
#                       P.E. =    41.00     n,l -        E,l             R_int
#                                           2 1 -    20.99 0      -2.48343E-01
#                                           2 1 -    20.99 2      -7.19876E-01
#
    41.00000  8.89852E+00  0.00000E+00  0.00000E+00  8.89852E+00
#
#                       P.E. =    42.00     n,l -        E,l             R_int
#                                           2 1 -    21.99 0      -2.40700E-01
#                                           2 1 -    21.99 2      -7.09215E-01
#
    42.00000  8.83159E+00  0.00000E+00  0.00000E+00  8.83159E+00
#
#                       P.E. =    43.00     n,l -        E,l             R_int
#                                           2 1 -    22.99 0      -2.33462E-01
#                                           2 1 -    22.99 2      -6.98618E-01
#
    43.00000  8.75911E+00  0.00000E+00  0.00000E+00  8.75911E+00
#
#                       P.E. =    44.00     n,l -        E,l             R_int
#                                           2 0 -     0.91 1       1.82981E-01
#                                           2 1 -    23.99 0      -2.26597E-01
#                                           2 1 -    23.99 2      -6.88100E-01
#
    44.00000  8.97285E+00  0.00000E+00  2.91173E-01  8.68168E+00
#
#                       P.E. =    45.00     n,l -        E,l             R_int
#                                           2 0 -     1.91 1       1.88789E-01
#                                           2 1 -    24.99 0      -2.20077E-01
#                                           2 1 -    24.99 2      -6.77676E-01
#
    45.00000  8.91683E+00  0.00000E+00  3.16993E-01  8.59983E+00
#
#                       P.E. =    46.00     n,l -        E,l             R_int
#                                           2 0 -     2.91 1       1.93800E-01
#                                           2 1 -    25.99 0      -2.13878E-01
#                                           2 1 -    25.99 2      -6.67355E-01
#
    46.00000  8.85553E+00  0.00000E+00  3.41467E-01  8.51406E+00
#
#                       P.E. =    47.00     n,l -        E,l             R_int
#                                           2 0 -     3.91 1       1.98098E-01
#                                           2 1 -    26.99 0      -2.07977E-01
#                                           2 1 -    26.99 2      -6.57145E-01
#
    47.00000  8.78932E+00  0.00000E+00  3.64538E-01  8.42479E+00
#
#                       P.E. =    48.00     n,l -        E,l             R_int
#                                           2 0 -     4.91 1       2.01764E-01
#                                           2 1 -    27.99 0      -2.02354E-01
#                                           2 1 -    27.99 2      -6.47052E-01
#
    48.00000  8.71860E+00  0.00000E+00  3.86203E-01  8.33239E+00
#
#                       P.E. =    49.00     n,l -        E,l             R_int
#                                           2 0 -     5.91 1       2.04871E-01
#                                           2 1 -    28.99 0      -1.96990E-01
#                                           2 1 -    28.99 2      -6.37081E-01
#
    49.00000  8.64371E+00  0.00000E+00  4.06482E-01  8.23723E+00
#
#                       P.E. =    50.00     n,l -        E,l             R_int
#                                           2 0 -     6.91 1       2.07479E-01
#                                           2 1 -    29.99 0      -1.91867E-01
#                                           2 1 -    29.99 2      -6.27235E-01
#
    50.00000  8.56502E+00  0.00000E+00  4.25406E-01  8.13962E+00
#
#                       P.E. =    51.00     n,l -        E,l             R_int
#                                           2 0 -     7.91 1       2.09644E-01
#                                           2 1 -    30.99 0      -1.86970E-01
#                                           2 1 -    30.99 2      -6.17517E-01
#
    51.00000  8.48285E+00  0.00000E+00  4.43016E-01  8.03984E+00
#
#                       P.E. =    52.00     n,l -        E,l             R_int
#                                           2 0 -     8.91 1       2.11415E-01
#                                           2 1 -    31.99 0      -1.82284E-01
#                                           2 1 -    31.99 2      -6.07928E-01
#
    52.00000  8.39752E+00  0.00000E+00  4.59366E-01  7.93815E+00
#
#                       P.E. =    53.00     n,l -        E,l             R_int
#                                           2 0 -     9.91 1       2.12835E-01
#                                           2 1 -    32.99 0      -1.77797E-01
#                                           2 1 -    32.99 2      -5.98469E-01
#
    53.00000  8.30933E+00  0.00000E+00  4.74511E-01  7.83481E+00
#
#                       P.E. =    54.00     n,l -        E,l             R_int
#                                           2 0 -    10.91 1       2.13942E-01
#                                           2 1 -    33.99 0      -1.73497E-01
#                                           2 1 -    33.99 2      -5.89140E-01
#
    54.00000  8.21855E+00  0.00000E+00  4.88508E-01  7.73004E+00
#
#                       P.E. =    55.00     n,l -        E,l             R_int
#                                           2 0 -    11.91 1       2.14771E-01
#                                           2 1 -    34.99 0      -1.69371E-01
#                                           2 1 -    34.99 2      -5.79943E-01
#
    55.00000  8.12546E+00  0.00000E+00  5.01415E-01  7.62405E+00
#
#                       P.E. =    56.00     n,l -        E,l             R_int
#                                           2 0 -    12.91 1       2.15350E-01
#                                           2 1 -    35.99 0      -1.65411E-01
#                                           2 1 -    35.99 2      -5.70876E-01
#
    56.00000  8.03031E+00  0.00000E+00  5.13289E-01  7.51702E+00
#
#                       P.E. =    57.00     n,l -        E,l             R_int
#                                           2 0 -    13.91 1       2.15706E-01
#                                           2 1 -    36.99 0      -1.61606E-01
#                                           2 1 -    36.99 2      -5.61941E-01
#
    57.00000  7.93334E+00  0.00000E+00  5.24185E-01  7.40916E+00
#
#                       P.E. =    58.00     n,l -        E,l             R_int
#                                           2 0 -    14.91 1       2.15863E-01
#                                           2 1 -    37.99 0      -1.57948E-01
#                                           2 1 -    37.99 2      -5.53135E-01
#
    58.00000  7.83478E+00  0.00000E+00  5.34159E-01  7.30062E+00
#
#                       P.E. =    59.00     n,l -        E,l             R_int
#                                           2 0 -    15.91 1       2.15842E-01
#                                           2 1 -    38.99 0      -1.54428E-01
#                                           2 1 -    38.99 2      -5.44458E-01
#
    59.00000  7.73484E+00  0.00000E+00  5.43264E-01  7.19157E+00
#
#                       P.E. =    60.00     n,l -        E,l             R_int
#                                           2 0 -    16.91 1       2.15662E-01
#                                           2 1 -    39.99 0      -1.51039E-01
#                                           2 1 -    39.99 2      -5.35911E-01
#
    60.00000  7.63372E+00  0.00000E+00  5.51550E-01  7.08217E+00
#
#                       P.E. =    61.00     n,l -        E,l             R_int
#                                           2 0 -    17.91 1       2.15339E-01
#                                           2 1 -    40.99 0      -1.47774E-01
#                                           2 1 -    40.99 2      -5.27491E-01
#
    61.00000  7.53161E+00  0.00000E+00  5.59065E-01  6.97255E+00
#
#                       P.E. =    62.00     n,l -        E,l             R_int
#                                           2 0 -    18.91 1       2.14889E-01
#                                           2 1 -    41.99 0      -1.44626E-01
#                                           2 1 -    41.99 2      -5.19198E-01
#
    62.00000  7.42870E+00  0.00000E+00  5.65853E-01  6.86285E+00
#
#                       P.E. =    63.00     n,l -        E,l             R_int
#                                           2 0 -    19.91 1       2.14324E-01
#                                           2 1 -    42.99 0      -1.41590E-01
#                                           2 1 -    42.99 2      -5.11032E-01
#
    63.00000  7.32516E+00  0.00000E+00  5.71960E-01  6.75320E+00
#
#                       P.E. =    64.00     n,l -        E,l             R_int
#                                           2 0 -    20.91 1       2.13656E-01
#                                           2 1 -    43.99 0      -1.38660E-01
#                                           2 1 -    43.99 2      -5.02991E-01
#
    64.00000  7.22115E+00  0.00000E+00  5.77425E-01  6.64373E+00
#
#                       P.E. =    65.00     n,l -        E,l             R_int
#                                           2 0 -    21.91 1       2.12897E-01
#                                           2 1 -    44.99 0      -1.35830E-01
#                                           2 1 -    44.99 2      -4.95074E-01
#
    65.00000  7.11682E+00  0.00000E+00  5.82288E-01  6.53454E+00
#
#                       P.E. =    66.00     n,l -        E,l             R_int
#                                           2 0 -    22.91 1       2.12056E-01
#                                           2 1 -    45.99 0      -1.33095E-01
#                                           2 1 -    45.99 2      -4.87281E-01
#
    66.00000  7.01232E+00  0.00000E+00  5.86584E-01  6.42574E+00
#
#                       P.E. =    67.00     n,l -        E,l             R_int
#                                           2 0 -    23.91 1       2.11142E-01
#                                           2 1 -    46.99 0      -1.30451E-01
#                                           2 1 -    46.99 2      -4.79610E-01
#
    67.00000  6.90779E+00  0.00000E+00  5.90348E-01  6.31744E+00
#
#                       P.E. =    68.00     n,l -        E,l             R_int
#                                           2 0 -    24.91 1       2.10162E-01
#                                           2 1 -    47.99 0      -1.27893E-01
#                                           2 1 -    47.99 2      -4.72060E-01
#
    68.00000  6.80334E+00  0.00000E+00  5.93613E-01  6.20973E+00
#
#                       P.E. =    69.00     n,l -        E,l             R_int
#                                           2 0 -    25.91 1       2.09124E-01
#                                           2 1 -    48.99 0      -1.25418E-01
#                                           2 1 -    48.99 2      -4.64631E-01
#
    69.00000  6.69911E+00  0.00000E+00  5.96408E-01  6.10270E+00
#
#                       P.E. =    70.00     n,l -        E,l             R_int
#                                           2 0 -    26.91 1       2.08035E-01
#                                           2 1 -    49.99 0      -1.23021E-01
#                                           2 1 -    49.99 2      -4.57322E-01
#
    70.00000  6.59520E+00  0.00000E+00  5.98763E-01  5.99643E+00
#
#                       P.E. =    71.00     n,l -        E,l             R_int
#                                           2 0 -    27.91 1       2.06899E-01
#                                           2 1 -    50.99 0      -1.20700E-01
#                                           2 1 -    50.99 2      -4.50131E-01
#
    71.00000  6.49172E+00  0.00000E+00  6.00703E-01  5.89101E+00
#
#                       P.E. =    72.00     n,l -        E,l             R_int
#                                           2 0 -    28.91 1       2.05722E-01
#                                           2 1 -    51.99 0      -1.18450E-01
#                                           2 1 -    51.99 2      -4.43057E-01
#
