# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024  9:43:58
# ---------------------------------------------------------------------
# Atom: Ne
#   nuclear charge:   10
#   total electrons:  10
#   total charge:     +0
#   configuration: 1s2_2s2_2p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   21 iterations
#   energy convergence  =  2.092E-08
#   density convergence =  4.990E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -70.56886464  [     -1920.28 eV ]
#   (SUM of E_kin) =     132.75037885
#   (Effec. pot E) =    -203.31924349
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     132.75037885
#   E Latter corr  =      -0.07669013
#   Nuc-Elec pot E =    -317.06633335    One-Elec E =    -184.39264463
#
#   Hartree E      =      68.21763872
#   Exchange E     =     -16.95862309
#   Correlation E  =       0.00000000    Two-Elec E =      51.25901563
#   ---------------------------------
#   Total Energy   =    -133.13362900  [     -3622.75 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1920.28    -3622.75
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -31.49465456    -857.013120    1273.910550
#   2s       2    -1.58368578     -43.094281     150.142665
#   2p       6    -0.73536400     -20.010272     127.369171
#
#              1s        2s        2p
# |SCF|   -857.01    -43.09    -20.01
#
# Plotting of radial bound states [ u(r) = r R(r) ] on nonuniform grids
r(a.u.)         1s         2s         2p
  2.422E+00  8.792E-08  1.193E-01 -2.059E-01
  2.504E+00  4.612E-08  1.050E-01 -1.895E-01
  2.589E+00  2.357E-08  9.188E-02 -1.739E-01
  2.678E+00  1.172E-08  7.992E-02 -1.589E-01
  2.770E+00  5.658E-09  6.906E-02 -1.446E-01
  2.866E+00  2.650E-09  5.929E-02 -1.311E-01
  2.966E+00  1.202E-09  5.053E-02 -1.183E-01
  3.071E+00  5.267E-10  4.275E-02 -1.062E-01
  3.180E+00  2.228E-10  3.589E-02 -9.489E-02
  3.293E+00  9.066E-11  2.987E-02 -8.433E-02
  3.412E+00  3.553E-11  2.465E-02 -7.452E-02
  3.536E+00  1.329E-11  2.015E-02 -6.545E-02
  3.666E+00  4.805E-12  1.631E-02 -5.713E-02
  3.802E+00  1.604E-12  1.306E-02 -4.952E-02
  3.944E+00  5.402E-13  1.035E-02 -4.262E-02
  4.093E+00  1.317E-13  8.100E-03 -3.640E-02
  4.249E+00  5.456E-14  6.262E-03 -3.083E-02
  4.413E+00 -1.576E-14  4.777E-03 -2.589E-02
  4.585E+00  4.552E-14  3.594E-03 -2.154E-02
  4.765E+00  8.939E-16  2.663E-03 -1.774E-02
  4.954E+00 -6.819E-15  1.942E-03 -1.446E-02
  5.154E+00 -5.804E-14  1.392E-03 -1.166E-02
  5.363E+00  1.180E-14  9.799E-04 -9.282E-03
  5.584E+00 -1.538E-14  6.766E-04 -7.297E-03
  5.816E+00  1.309E-14  4.575E-04 -5.659E-03
  6.061E+00 -3.311E-14  3.026E-04 -4.324E-03
  6.320E+00  2.487E-14  1.955E-04 -3.252E-03
  6.593E+00 -3.808E-14  1.231E-04 -2.405E-03
  6.881E+00 -5.079E-14  7.548E-05 -1.747E-03
  7.186E+00 -5.241E-14  4.494E-05 -1.244E-03
  7.508E+00 -4.349E-14  2.593E-05 -8.681E-04
  7.850E+00  1.178E-14  1.447E-05 -5.922E-04
  8.212E+00  5.740E-14  7.794E-06 -3.944E-04
  8.595E+00  2.300E-14  4.038E-06 -2.559E-04
  9.002E+00  6.482E-15  2.007E-06 -1.615E-04
  9.435E+00  4.413E-14  9.539E-07 -9.893E-05
  9.895E+00 -2.972E-14  4.325E-07 -5.867E-05
  1.038E+01 -1.078E-13  1.859E-07 -3.361E-05
  1.090E+01 -2.273E-14  7.590E-08 -1.855E-05
  1.146E+01  5.340E-14  2.893E-08 -9.833E-06
  1.205E+01  1.035E-13  1.058E-08 -4.992E-06
  1.268E+01 -8.430E-14  3.391E-09 -2.419E-06
  1.335E+01 -5.597E-14  1.210E-09 -1.115E-06
  1.406E+01  8.795E-14  2.046E-10 -4.868E-07
  1.483E+01  9.825E-14  1.893E-10 -2.009E-07
  1.564E+01  1.028E-14 -8.133E-11 -7.768E-08
  1.651E+01  6.641E-14  1.010E-10 -2.836E-08
  1.744E+01 -7.834E-14 -8.989E-11 -9.423E-09
  1.843E+01 -8.569E-14  8.668E-11 -3.113E-09
  1.949E+01 -7.383E-14 -8.108E-11 -7.582E-10
  2.062E+01  3.875E-14  7.583E-11 -3.409E-10
  2.181E+01  1.662E-13 -7.111E-11  4.235E-11
  2.309E+01  1.755E-13  6.514E-11 -1.082E-10
  2.444E+01  3.469E-14 -6.086E-11  8.596E-11
  2.586E+01 -8.304E-14  5.605E-11 -8.652E-11
  2.737E+01 -1.467E-13 -5.088E-11  7.938E-11
  2.895E+01 -3.211E-13  4.609E-11 -7.060E-11
  3.059E+01  1.559E-13 -4.374E-11  6.765E-11
  3.230E+01 -8.777E-14  3.806E-11 -5.888E-11
  3.407E+01  5.027E-14 -3.438E-11  5.884E-11
  3.587E+01  1.232E-13  3.025E-11 -5.187E-11
  3.769E+01 -3.681E-13 -2.674E-11  4.473E-11
  3.950E+01 -3.663E-13  2.571E-11 -4.045E-11
  4.128E+01 -4.673E-14 -2.313E-11  3.662E-11
  4.299E+01  1.193E-13  1.932E-11 -3.336E-11
  4.460E+01 -5.686E-13 -1.729E-11  2.890E-11
  4.607E+01  4.920E-13  1.549E-11 -2.370E-11
  4.736E+01 -7.194E-14 -1.379E-11  2.059E-11
  4.843E+01 -3.209E-13  1.164E-11 -1.217E-11
  4.924E+01 -3.937E-14 -7.158E-12  9.947E-12
  4.977E+01 -1.113E-15  3.658E-12 -3.655E-12


#
# Current date/time  :  8-Aug-2024  9:43:59
# elapsed real time  :  0.50 seconds on max-wne003.desy.de
# Job time(CPU_time) :  1.53 seconds on max-wne003.desy.de
