# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 17-Oct-2024  9:25:34
# ---------------------------------------------------------------------
# Atom: N
#   nuclear charge:    7
#   total electrons:   7
#   total charge:     +0
#   configuration: 1s2_2s2_2p3
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   22 iterations
#   energy convergence  = -7.875E-08
#   density convergence =  7.992E-09
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -32.69969525  [      -889.80 eV ]
#   (SUM of E_kin) =      56.22710588
#   (Effec. pot E) =     -88.92680113
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =      56.22710588
#   E Latter corr  =      -0.06340575
#   Nuc-Elec pot E =    -130.63838522    One-Elec E =     -74.47468510
#
#   Hartree E      =      26.74291002
#   Exchange E     =      -8.78312265
#   Correlation E  =       0.00000000    Two-Elec E =      17.95978737
#   ---------------------------------
#   Total Energy   =     -56.51489772  [     -1537.85 eV ]
#
#                E(0)        E(1)
# |E_TOT|     -889.80    -1537.85
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -14.86854593    -404.593704     613.355830
#   2s       2    -0.84794340     -23.073713      69.070615
#   2p       3    -0.42223887     -11.489704      55.054816
#
#              1s        2s        2p
# |SCF|   -404.59    -23.07    -11.49
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.227       0.069       3.900     4.4E-08
#   2s       1.283       2.005      16.795    -4.3E-08
#   2p       1.413       2.662      23.705    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4887
#   continuum_rmax(a.u.)  =      24.437 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
   529.00000  3.92421E-01  3.72504E-01  1.66283E-02  3.28859E-03
   530.00000  3.90626E-01  3.70805E-01  1.65532E-02  3.26780E-03
   531.00000  3.88845E-01  3.69119E-01  1.64785E-02  3.24717E-03
   532.00000  3.87077E-01  3.67446E-01  1.64043E-02  3.22671E-03
   533.00000  3.85323E-01  3.65786E-01  1.63305E-02  3.20641E-03
   534.00000  3.83582E-01  3.64138E-01  1.62572E-02  3.18627E-03
   535.00000  3.81854E-01  3.62503E-01  1.61843E-02  3.16629E-03
   536.00000  3.80139E-01  3.60881E-01  1.61118E-02  3.14646E-03
   537.00000  3.78437E-01  3.59270E-01  1.60398E-02  3.12680E-03
   538.00000  3.76747E-01  3.57672E-01  1.59682E-02  3.10728E-03
   539.00000  3.75070E-01  3.56085E-01  1.58970E-02  3.08793E-03
   540.00000  3.73405E-01  3.54510E-01  1.58263E-02  3.06872E-03
   541.00000  3.71752E-01  3.52947E-01  1.57560E-02  3.04966E-03
   542.00000  3.70112E-01  3.51395E-01  1.56861E-02  3.03075E-03
   543.00000  3.68482E-01  3.49854E-01  1.56166E-02  3.01199E-03
   544.00000  3.66865E-01  3.48324E-01  1.55475E-02  2.99338E-03
   545.00000  3.65259E-01  3.46805E-01  1.54788E-02  2.97491E-03
   546.00000  3.63664E-01  3.45296E-01  1.54106E-02  2.95658E-03
   547.00000  3.62080E-01  3.43798E-01  1.53427E-02  2.93840E-03
   548.00000  3.60506E-01  3.42311E-01  1.52753E-02  2.92035E-03
   549.00000  3.58944E-01  3.40833E-01  1.52082E-02  2.90245E-03
   550.00000  3.57392E-01  3.39366E-01  1.51416E-02  2.88468E-03
   551.00000  3.55851E-01  3.37908E-01  1.50753E-02  2.86705E-03
   552.00000  3.54319E-01  3.36460E-01  1.50094E-02  2.84955E-03
   553.00000  3.52798E-01  3.35022E-01  1.49439E-02  2.83219E-03
   554.00000  3.51287E-01  3.33593E-01  1.48788E-02  2.81497E-03
   555.00000  3.49785E-01  3.32173E-01  1.48141E-02  2.79787E-03
   556.00000  3.48293E-01  3.30763E-01  1.47497E-02  2.78091E-03
   557.00000  3.46811E-01  3.29361E-01  1.46858E-02  2.76407E-03
   558.00000  3.45338E-01  3.27968E-01  1.46222E-02  2.74736E-03
   559.00000  3.43874E-01  3.26584E-01  1.45589E-02  2.73078E-03
   560.00000  3.42419E-01  3.25208E-01  1.44961E-02  2.71433E-03
   561.00000  3.40973E-01  3.23841E-01  1.44336E-02  2.69800E-03
   562.00000  3.39535E-01  3.22482E-01  1.43714E-02  2.68179E-03
   563.00000  3.38107E-01  3.21131E-01  1.43097E-02  2.66570E-03
   564.00000  3.36686E-01  3.19788E-01  1.42483E-02  2.64974E-03
   565.00000  3.35274E-01  3.18453E-01  1.41872E-02  2.63390E-03
   566.00000  3.33871E-01  3.17126E-01  1.41265E-02  2.61817E-03
   567.00000  3.32475E-01  3.15807E-01  1.40661E-02  2.60257E-03
   568.00000  3.31088E-01  3.14495E-01  1.40061E-02  2.58708E-03
   569.00000  3.29708E-01  3.13190E-01  1.39464E-02  2.57170E-03
   570.00000  3.28337E-01  3.11893E-01  1.38871E-02  2.55645E-03
   571.00000  3.26973E-01  3.10603E-01  1.38281E-02  2.54130E-03
   572.00000  3.25616E-01  3.09320E-01  1.37695E-02  2.52627E-03
   573.00000  3.24267E-01  3.08045E-01  1.37111E-02  2.51135E-03
   574.00000  3.22925E-01  3.06776E-01  1.36532E-02  2.49654E-03
   575.00000  3.21591E-01  3.05514E-01  1.35955E-02  2.48184E-03
   576.00000  3.20264E-01  3.04258E-01  1.35382E-02  2.46725E-03
   577.00000  3.18944E-01  3.03010E-01  1.34812E-02  2.45277E-03
   578.00000  3.17631E-01  3.01768E-01  1.34245E-02  2.43839E-03
   579.00000  3.16324E-01  3.00532E-01  1.33682E-02  2.42413E-03
   580.00000  3.15025E-01  2.99303E-01  1.33121E-02  2.40996E-03
   581.00000  3.13732E-01  2.98080E-01  1.32564E-02  2.39590E-03
   582.00000  3.12446E-01  2.96863E-01  1.32010E-02  2.38195E-03
   583.00000  3.11167E-01  2.95653E-01  1.31459E-02  2.36809E-03
   584.00000  3.09894E-01  2.94448E-01  1.30911E-02  2.35434E-03
   585.00000  3.08627E-01  2.93250E-01  1.30367E-02  2.34069E-03
   586.00000  3.07367E-01  2.92057E-01  1.29825E-02  2.32714E-03
   587.00000  3.06113E-01  2.90871E-01  1.29286E-02  2.31369E-03
   588.00000  3.04865E-01  2.89690E-01  1.28751E-02  2.30033E-03
   589.00000  3.03624E-01  2.88515E-01  1.28218E-02  2.28707E-03
   590.00000  3.02388E-01  2.87345E-01  1.27688E-02  2.27391E-03
   591.00000  3.01159E-01  2.86182E-01  1.27162E-02  2.26085E-03
   592.00000  2.99935E-01  2.85024E-01  1.26638E-02  2.24788E-03
   593.00000  2.98718E-01  2.83871E-01  1.26117E-02  2.23500E-03
   594.00000  2.97506E-01  2.82724E-01  1.25599E-02  2.22222E-03
   595.00000  2.96300E-01  2.81582E-01  1.25084E-02  2.20952E-03
   596.00000  2.95100E-01  2.80446E-01  1.24572E-02  2.19692E-03
   597.00000  2.93906E-01  2.79315E-01  1.24062E-02  2.18441E-03
   598.00000  2.92717E-01  2.78190E-01  1.23556E-02  2.17199E-03
   599.00000  2.91534E-01  2.77069E-01  1.23052E-02  2.15966E-03
   600.00000  2.90357E-01  2.75954E-01  1.22551E-02  2.14742E-03
   601.00000  2.89185E-01  2.74844E-01  1.22053E-02  2.13526E-03
   602.00000  2.88018E-01  2.73739E-01  1.21557E-02  2.12320E-03
   603.00000  2.86857E-01  2.72640E-01  1.21064E-02  2.11121E-03
   604.00000  2.85702E-01  2.71545E-01  1.20574E-02  2.09931E-03
   605.00000  2.84551E-01  2.70455E-01  1.20087E-02  2.08750E-03
   606.00000  2.83407E-01  2.69371E-01  1.19602E-02  2.07577E-03
   607.00000  2.82267E-01  2.68291E-01  1.19120E-02  2.06412E-03
   608.00000  2.81133E-01  2.67216E-01  1.18640E-02  2.05256E-03
   609.00000  2.80004E-01  2.66146E-01  1.18163E-02  2.04108E-03
   610.00000  2.78880E-01  2.65081E-01  1.17689E-02  2.02967E-03
   611.00000  2.77761E-01  2.64021E-01  1.17217E-02  2.01835E-03
   612.00000  2.76648E-01  2.62966E-01  1.16748E-02  2.00711E-03
   613.00000  2.75540E-01  2.61916E-01  1.16281E-02  1.99594E-03
